127.0.0.1 - - [10/Oct/2023:22:21:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/index.jsp HTTP/1.1" 200 13809
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/lightbox/ekko-lightbox.css HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/medisol.png HTTP/1.1" 200 12288
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/custom.css HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img2.jpg HTTP/1.1" 200 23886
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img1.jpg HTTP/1.1" 200 36238
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img4.jpg HTTP/1.1" 200 73772
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img3.jpg HTTP/1.1" 200 31997
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/aos/aos.js HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/lightbox/ekko-lightbox.js HTTP/1.1" 200 29315
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img5.jpg HTTP/1.1" 200 28254
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/icon1.png HTTP/1.1" 200 9607
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/img6.jpg HTTP/1.1" 200 25896
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/icon2.png HTTP/1.1" 200 32882
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/icon3.png HTTP/1.1" 200 14126
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/slide1.jpg HTTP/1.1" 200 49948
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/image2.jpg HTTP/1.1" 200 49212
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/image3.jpg HTTP/1.1" 200 90066
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/slide2.jpg HTTP/1.1" 200 26929
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/image1.jpg HTTP/1.1" 200 47173
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:07 +0530] "GET /MediSolWeb/resources/slide3.jpg HTTP/1.1" 200 23622
0:0:0:0:0:0:0:1 - - [10/Oct/2023:22:21:49 +0530] "GET /MediSolWeb/UserLogin.jsp HTTP/1.1" 200 7322
